V1,auto_select,avg_top_2,avg_top_4,avg_top_6,elasticnet,gbt,knn,lightgbm,svr,weighted_top_2,weighted_top_4,weighted_top_6,xgboost
W206,12.97783931402754,12.977704874769916,12.977735683785289,12.977749096544327,12.977570435301278,13.418242674178044,12.515361549942494,14.160835046158821,46.45255970701444,12.977828110764305,12.9778161603088,12.977808789225637,12.97783931402754
W207,39.645745772449864,29.621160517621163,31.843019943196115,32.76925492659931,20.486623686620767,25.532153482554147,35.2083694626741,25.474953822670827,39.645745772449864,38.776747402636225,37.514736033478776,36.80045305274003,22.972792448665473
W208,9.68860645688428,9.136790892287209,9.037468757863735,8.994045083880744,10.41632389778357,9.061225322972856,9.776280273563918,8.699033744518328,9.68860645688428,8.735948728418709,8.775237523100584,8.79942573150273,8.957668596407034
W209,4.329828814590416,4.619058924191743,4.552881122448009,4.524051183575312,4.907113856845906,6.399814983020686,5.463653881847351,4.273338281505355,4.329828814590416,4.353976412462266,4.37972545487061,4.395602896086031,6.632943080490918
W210,4.284641529857612,4.284641529857612,4.285154488016168,4.285336719914669,4.604264345181248,4.260405158119488,8.776622856841449,4.37348508854809,4.309632718074117,4.286695327955862,4.286248499005415,4.2860710961918,4.482240952596118
W211,0.11565619353484224,0.2289935836509488,0.2261699998182073,0.2243091907757536,0.11565619353484224,0.7311286061237879,0.12322728655104845,0.37543806722275236,0.6275392650870759,0.21769853281905557,0.21500436869376383,0.2160261787628301,0.8507114104648862
W212,4.337787122532271,3.441828250266685,3.4251206588562337,3.4192603930100804,4.337787122532271,4.534957156262135,3.4192472273787944,5.65003904942096,7.5064656652168775,3.375034479104997,3.389970323801471,3.395679755304067,2.646686767282722
W213,6.549294731334903,5.099821904720709,5.0998218992345015,5.099821896846052,5.252991122829637,5.099821928660544,5.671395994465022,5.099821880780862,7.420489842507309,5.099821882775856,5.099821884903925,5.099821886216451,6.549294731334903
W214,3.229331152943942,2.5320921547314317,2.5838157438226537,2.6063680431488057,2.758604021396704,2.7033193958633057,4.148016569092492,3.229331152943942,2.307667845389153,2.739647624709299,2.719443124697795,2.706989235226169,3.9310458247987303
W215,1.5913723199265113,1.8107576440731032,1.8365807314890337,1.846682509420134,1.6981785677459393,1.5913723199265113,0.9071641157935578,2.378400075111584,1.923505205515554,1.9141031307375427,1.8972117210332047,1.888426631778979,1.2743245929139986
W216,0.7041557848481076,0.9767222442822965,0.9636047404571888,0.9594771188175668,0.9327867096954526,0.6998556090106323,0.7041557848481076,1.0396892218049556,1.2334184514199318,0.9360906096626052,0.9400799059793965,0.9423671312074914,0.8404756437186883
W217,1.3553673203441683,1.3315884635614779,1.3304516308169534,1.329956743658052,1.3279162974522458,1.3325921688487634,1.3365505039372738,1.326628563563861,1.3553673203441683,1.3270418068488938,1.3274826273320364,1.3277545353681455,1.5243078425884398
W218,3.0436712917135846,3.05042341056969,3.0487354328391003,3.0481171462426198,3.1790018512019955,2.9112791401130087,3.0098367265570944,3.087376035623226,4.626555400042419,3.0436712917135846,3.0450256435178313,3.0456228451156155,3.357008346007036
W219,0.04297911162204255,0.06305892364878056,0.0584576567892735,0.056454420334256364,0.08313469732624683,0.06921003998763556,0.04297911162204255,0.0447118744227435,0.04794759358345748,0.04465258356321828,0.046437635028355774,0.047538645068622876,0.05539228037093451
W220,0.00041429371113481394,0.0021159496134177504,0.0015852566234997034,0.001356192156441592,0.004431734438507706,0.3837426942128114,0.047886397203157516,0.440430219468841,0.00041429371113481394,0.00034502285242984465,0.00038692935352084974,0.00041593674576022614,0.08905122701066169
W221,3.6582568990535194,3.7526716542728535,3.730985710054941,3.721553867298667,4.197669237445667,3.6582568990535194,7.010589118729535,3.8476469469531795,12.994873396005863,3.666103574015646,3.674477811527318,3.679645253410614,4.84091916269846
W222,7.329169603845134,7.408223738828449,7.388470455250353,7.381736993364875,7.252034415531601,7.4668522253425875,8.348424740422395,7.471281998226707,6.471292792038563,7.329169603845134,7.348057778098241,7.3546753834828245,7.417122148849079
