V1,auto_select,avg_all,avg_top2,avg_top4,elasticnet,knn,lasso,lightgbm,ridge,xgboost
H88,3.4233464596503214,2.5043424640085576,2.233124562847835,2.5585745655771914,2.2355906936283936,4.106981484702055,2.2306586492738805,2.5921829302406585,2.2467250850704916,3.4233464596503214
H89,9.42088432108228,10.678164586100248,9.666455581859282,9.722645426155099,14.30668942333821,9.489626346687821,9.89153948975204,13.39633926844761,9.918471902059645,9.42088432108228
H90,10.241352633874914,10.464751218909948,10.387668458314426,10.414960627655748,10.519406631141544,10.241352633874914,10.49663050567409,10.57867196882191,10.533460019881415,10.543629546057224
H91,3.9619207262721896,6.182299868601211,6.294273192758499,6.59761852948283,6.212149650175381,3.9619207262721896,5.909547734478132,6.395852032718627,6.697832469812623,7.509715761963949
H92,4.804030687036459,5.382877019681242,4.808805933856377,4.801490637345238,4.779531000945668,20.695226784803424,4.8135782890256165,4.571692303038606,4.804030687036459,4.47891689108943
H93,7.899725549528938,5.113605748967996,5.180685256887039,5.193856602191563,5.225699941134314,5.136297021195813,5.22897757475734,7.899725549528938,5.235642541004346,4.252085832315494
H94,3.094450493599337,4.974813407546288,4.691657846569807,4.910546719713663,6.254938560062584,3.094450493599337,5.833057112478805,1.2331555330025328,5.562343103118652,8.217551838902082
H95,6.644090248070408,6.644090248070408,8.16302121735662,7.829433344663454,6.9858279018234795,9.318493585381606,6.934946522257094,4.711705728905206,6.81943012071895,2.1585012545728524
H96,12.33386279228845,6.909783015085108,9.6717812639727,8.713391639677594,7.085696117478091,12.33386279228845,5.891941389126979,6.081047315887851,5.896242260764341,3.226636979494313
H97,2.499549744380105,1.9446897907179561,2.120101386390347,2.042098320382206,1.9175972540591422,2.499549744380105,1.924317204389809,1.4803225210208537,1.9451287554070988,2.6705058671768955
H98,1.8914486718273358,1.9408573988130593,1.8914486718273358,1.9089312858887022,2.005767032063968,2.036999504488252,2.031151642447557,1.9685234432922785,2.0494571517256412,2.1458352281201876
H99,12.86705762499054,15.231972653477657,13.61583166273006,13.47932574175396,12.86705762499054,13.339106378267473,13.069855860365365,13.853763737294011,13.906508278644255,27.851016826317064
H100,6.949240499477735,6.807188183576248,6.241083827738262,5.939603464005222,5.665501369388065,6.949240499477735,8.490954020078448,5.151373247125658,18.610721544365326,24.870308493422183
H101,8.870586782950435,6.884504456580699,5.368871471953975,5.376551595426335,5.232328558783723,11.173433383446248,5.399727057973992,8.870586782950435,5.5099628674344405,8.988690568597871
H102,20.665857863807418,12.956909292750884,11.863134912392931,11.865133931012348,11.863134912392931,11.311144795518498,11.863134912392931,11.871129160378016,11.809930638943515,20.665857863807418
H103,7.02079055943248,4.611199885836701,3.71159933569241,4.310358722704594,7.02079055943248,3.25920245426753,7.137741440664504,4.606412113507358,7.319728363842088,3.323593161387523
H104,9.508397224049697,10.695264003692653,9.24204776838233,9.553139817265784,9.984876334297791,9.508397224049697,20.076751060443648,8.975084520604122,8.062137604679673,10.4864966208149
H105,12.451504663453168,12.451504663453168,12.2736560224402,12.263959511739682,12.256430759326449,18.378572451984937,12.234858432224996,7.469537795072942,12.290875032427243,12.864742527744067
H106,13.720363451859466,14.129763697494724,15.455827142925195,14.928637513426384,14.78670446055929,16.118953842093728,12.07339382954274,13.720363451859466,13.32547030412189,12.534664567428239
H107,6.317465951229775,5.379851873060946,3.851882803711389,4.446291121521706,3.908442453995091,6.317465951229775,6.89950012694586,6.705306594257706,3.989799463625089,7.1462471689158535
H108,19.055352155901108,19.059171932045828,18.69841190453288,19.055352155901108,17.919094923490107,19.659868806410685,18.685852855473406,21.773864095836917,17.89719143337334,23.06772345167505
H109,3.057904405679667,2.991662917000428,3.2689319527566214,3.3462769702958903,3.057904405679667,2.594577894010693,3.4922204835282287,2.505667831712554,3.6265642014964365,2.3582972681639647
H110,3.7703744614245167,3.469692690849552,3.5745893960592703,3.5281639039025996,3.388693965912362,3.280021412835462,3.388693965912362,3.466445427265298,3.3663481085479634,3.7703744614245167
H111,6.883917689139764,6.265684917548603,6.901342355244719,6.554333450768839,6.906455867567193,7.783127961564176,6.906733488329393,4.998640905556593,6.883917689139764,10.264810058536215
H112,9.273995400679425,9.273995400679425,8.42515914908494,8.44231201392798,8.383990333476731,12.82574592148178,8.47047525725382,10.155062529542619,8.493822298086119,10.219267255407303
