date,open,high,low,close
3/22/2016,466.25,470.62,463.38,467.38
3/21/2016,468.62,472,463.88,466.38
3/18/2016,463,463.88,457.88,463.38
3/17/2016,472.13,475.88,460.12,462.38
3/16/2016,476.88,477.12,469.88,470.62
3/15/2016,477.75,479.12,473.12,477.12
3/14/2016,475.63,479.38,472.88,478.62
3/11/2016,476.88,478.38,471.62,475.88
3/10/2016,467.88,477.38,465.13,476.38
3/9/2016,464.62,468.38,461.12,468.12
3/8/2016,461.38,465.62,457.12,465.13
3/7/2016,465,468.38,461.88,463.13
3/4/2016,459.63,464.38,456.12,461.38
3/3/2016,449.62,461.88,449.38,459.12
3/2/2016,447,451.38,442.38,450.12
3/1/2016,453.38,454.63,445.62,446.12
2/29/2016,455.12,456.38,450.63,452.88
2/26/2016,453.88,456.12,449.13,452.12
2/25/2016,452.25,455.88,449.62,453.12
2/24/2016,455.62,456.12,446.62,451.38
2/23/2016,463.5,465.88,455.38,455.88
2/22/2016,466.38,469.38,458.25,463.88
2/19/2016,461.88,464.5,460.12,461.88
2/18/2016,468.5,468.5,462.12,462.38
2/17/2016,464.5,470,462.75,468.88
2/16/2016,460.75,465,459.88,464.38
2/12/2016,458.88,462,455.13,457.38
2/11/2016,460.38,465.75,457.88,458.38
2/10/2016,458.13,462.75,456.63,461.13
2/9/2016,459.13,460.25,455.13,457.38
2/8/2016,466.25,468.88,457.75,458.38
2/5/2016,473.5,474.13,465.75,466.63
2/4/2016,479.13,482.5,472.63,472.63
2/3/2016,475.63,480.13,474.63,479.88
2/2/2016,475.75,483,473.25,475.38
2/1/2016,476.25,477.25,471.38,475.63
1/29/2016,472.25,479.38,470.88,479.38
1/28/2016,476.75,476.88,470.63,472.13
1/27/2016,484.25,485.75,473.63,476.38
1/26/2016,481.63,488.5,478.13,485.13
1/25/2016,475.75,483.75,475.75,481.13
1/22/2016,474.75,479.75,472.63,475.38
1/21/2016,472.38,480,470.5,475.38
1/20/2016,473,475.38,467.38,471.63
1/19/2016,475.25,478.88,470.63,474.38
1/17/2016,473.38,473.38,473.38,473.38
1/15/2016,469,474.63,465.13,473.38
1/14/2016,477.75,477.88,468.13,468.88
1/13/2016,480.25,483.75,476.63,477.88
1/12/2016,470,483.13,463.88,481.38
1/11/2016,481,481.13,466.63,469.13
1/8/2016,468.13,479.63,467.63,478.38
1/7/2016,463.5,468.88,456.38,468.38
1/6/2016,461.5,465.63,457,462.63
1/5/2016,460.38,464.63,458.63,461.38
1/4/2016,472.5,472.5,456.13,458.38
12/31/2015,469.88,472.25,468.88,469.38
12/30/2015,476.38,479.13,469.38,469.63
12/29/2015,467.38,476.63,467.38,475.88
12/28/2015,467.5,472.38,465.88,466.63
12/27/2015,468,468,468,468
12/24/2015,468.63,471.63,467.38,468
12/23/2015,472.63,474.88,468.38,469.63
12/22/2015,479.5,482.63,471.63,471.63
12/21/2015,485.75,490.88,478.38,479.13
12/18/2015,486.13,498.88,481.38,486.13
12/17/2015,483.5,488.13,472.38,483.88
12/16/2015,493.13,496.75,483.38,483.38
12/15/2015,493.38,497.88,486.38,493.88
12/14/2015,491.38,496.88,488.63,493.38
12/11/2015,494.75,497.88,487.63,490.38
12/10/2015,488.88,497.88,485.63,495.38
12/9/2015,481.63,491.13,481.5,489.63
12/8/2015,481.5,483.63,476.63,481.38
12/7/2015,489.38,492.88,482.13,482.88
12/4/2015,479.25,484.88,478.38,484.63
12/3/2015,466.88,483.88,466.13,478.38
12/2/2015,471.25,473.38,465.63,467.13
12/1/2015,474.63,480.13,470.88,471.38
11/30/2015,476.63,480.38,475.13,475.63
11/27/2015,487.63,487.63,478.13,479
11/25/2015,488.38,492.38,487.38,487.63
11/24/2015,496.75,497.13,487.88,488.13
11/23/2015,487.25,499.63,485.88,497.38
11/20/2015,489.38,494.88,486.38,489.13
11/19/2015,483,492.75,481.63,490.38
11/18/2015,487.38,490.25,480.63,483.38
11/17/2015,493.5,494,484.63,487.75
11/16/2015,494.88,498,490.5,493.88
11/13/2015,496.5,499.75,491.63,496.13
11/12/2015,496,500.5,492.38,497.63
11/11/2015,491.88,498,490.38,495.13
11/10/2015,502.38,503.75,488.13,491.38
11/9/2015,520.38,521.25,501.38,501.63
11/6/2015,524.75,526,517.88,522.88
11/5/2015,524.5,529,520.38,525.88
11/4/2015,516.13,530.75,508.38,526.38
11/3/2015,507.63,516.63,506,516.38
11/2/2015,521.38,522.75,506.88,507.88
10/30/2015,515.25,523.75,515.13,522.13
10/29/2015,505.75,517.25,505.13,515.38
10/28/2015,507.63,508.75,500.13,505.88
10/27/2015,509.88,518,506.63,509.13
10/26/2015,493.63,512,493.63,509.38
10/23/2015,490.5,494.25,484.88,490.63
10/22/2015,494.75,500.5,490.63,490.88
10/21/2015,491.88,497.5,490.38,494.63
10/20/2015,486.38,491.63,483.63,490.63
10/19/2015,491.38,493.5,484.38,485.38
10/16/2015,502.63,505.88,489.88,492.38
10/15/2015,507.25,512.75,502.13,502.13
10/14/2015,518.38,519.75,507.63,508.38
10/13/2015,507,521.75,505.13,518.88
10/12/2015,507.38,510.63,503.38,506.88
10/9/2015,511,519.5,504.63,508.13
10/8/2015,516,522,509.38,511.13
10/7/2015,525.38,531.5,515.13,516.63
10/6/2015,514.63,526.63,513.13,525.88
10/5/2015,512.38,518,508.88,515.88
10/2/2015,516.75,523,512.63,512.63
10/1/2015,512.38,523.75,511.88,518
9/30/2015,503.38,515.5,498.38,512.25
9/29/2015,505.88,509.75,500.63,503.88
9/28/2015,508.5,515.5,500.38,506.13
9/25/2015,497.88,510.5,496.38,508.13
9/24/2015,506,509,496.88,497.13
9/23/2015,494.25,508.5,493.88,507.63
9/22/2015,496.38,496.5,488.38,495.38
9/21/2015,486.25,499.25,480.63,496.63
9/18/2015,481.63,489,480.13,486.63
9/17/2015,488.25,489.75,480.88,480.88
9/16/2015,494.13,495,483.13,488.88
9/15/2015,500.63,503.25,492.38,494.88
9/14/2015,486.38,501.63,485.88,501.38
9/11/2015,477.88,485.5,468.63,485.13
9/10/2015,472.25,479.5,471.5,478.13
9/9/2015,473,481,471.13,472.63
9/8/2015,469.13,476.63,469.13,475.13
9/4/2015,465.88,469.63,463.13,467.13
9/3/2015,479.25,479.38,464.88,464.88
9/2/2015,486.13,490,476.63,479.13
9/1/2015,484.13,491.5,482.13,485.63
8/31/2015,484.13,485.88,476.63,485.38
